Cell Type,Gradient:0,Gradient:1,Gradient:2,U:0,U:1,U:2,p,,WSS
9,-45.904,-18.37,0,0.010172,0.0028414,2.25E-19,0.9414,,49.44324136
9,-35.22,-14.345,0,0.0095394,0.0027121,0,0.8772,,38.02929693
9,-34.557,-12.13,0,0.009226,0.0026172,0,0.81171,,36.62407881
9,-32.045,-10.904,0,0.0089287,0.00253,1.86E-19,0.75092,,33.84936101
9,-29.549,-10.046,0,0.0086447,0.0024458,-1.76E-19,0.69473,,31.2100227
9,-27.135,-9.4331,0,0.0083573,0.0023584,0,0.64292,,28.7278889
9,-24.593,-9.0371,0,0.0080442,0.0022581,1.52E-19,0.59525,,26.20085543
9,-21.987,-8.9885,0,0.0076862,0.0021291,1.42E-19,0.55214,,23.75334295
9,-21.357,-8.5612,0,0.0072029,0.0019256,1.33E-19,0.51281,,23.00903289
9,-2.2893,-5.1664,0,0.0059361,0.001417,-1.24E-19,0.47327,,5.65089227
9,1.1431,-0.022333,0,0.0060051,0.0008209,0,0.50508,,1.143318142
9,-20.144,2.0026,0,0.0086718,5.03E-05,0,0.48103,,20.24329871
9,-20.144,2.0026,0,0.0086718,5.03E-05,0,0.48103,,20.24329871
9,-19.835,1.7608,0,0.0085094,4.18E-05,0,0.45607,,19.91300182
9,-19.835,1.7608,0,0.0085094,4.18E-05,0,0.45607,,19.91300182
9,-19.346,1.4986,0,0.0083755,3.56E-05,0,0.4317,,19.40395625
9,-19.346,1.4986,0,0.0083755,3.56E-05,0,0.4317,,19.40395625
9,-18.911,1.2865,0,0.0082644,3.01E-05,0,0.40793,,18.95470926
9,-18.911,1.2865,0,0.0082644,3.01E-05,0,0.40793,,18.95470926
9,-18.58,1.1156,0,0.0081742,2.54E-05,0,0.3846,,18.61346189
9,-18.58,1.1156,0,0.0081742,2.54E-05,0,0.3846,,18.61346189
9,-18.31,0.97874,0,0.0081007,2.17E-05,9.55E-22,0.36162,,18.33614005
9,-18.31,0.97874,0,0.0081007,2.17E-05,9.55E-22,0.36162,,18.33614005
9,-18.079,0.87248,0,0.0080402,1.88E-05,0,0.33893,,18.1000404
9,-18.079,0.87248,0,0.0080402,1.88E-05,0,0.33893,,18.1000404
9,-17.871,0.79041,0,0.0079893,1.65E-05,0,0.31651,,17.88847084
9,-17.871,0.79041,0,0.0079893,1.65E-05,0,0.31651,,17.88847084
9,-17.676,0.72452,0,0.0079457,1.50E-05,7.78E-22,0.29432,,17.69084241
9,-17.676,0.72452,0,0.0079457,1.50E-05,7.78E-22,0.29432,,17.69084241
9,-17.489,0.67112,0,0.0079074,1.41E-05,0,0.27237,,17.50187199
9,-17.489,0.67112,0,0.0079074,1.41E-05,0,0.27237,,17.50187199
9,-17.307,0.62875,0,0.0078731,1.34E-05,0,0.25064,,17.31841724
9,-17.307,0.62875,0,0.0078731,1.34E-05,0,0.25064,,17.31841724
9,-17.125,0.5941,0,0.0078417,1.29E-05,0,0.22914,,17.13530215
9,-17.125,0.5941,0,0.0078417,1.29E-05,0,0.22914,,17.13530215
9,-16.942,0.56419,0,0.0078126,1.25E-05,-5.49E-22,0.20786,,16.95139152
9,-16.942,0.56419,0,0.0078126,1.25E-05,-5.49E-22,0.20786,,16.95139152
9,-16.761,0.53636,0,0.0077856,1.21E-05,4.94E-22,0.18681,,16.76957969
9,-16.761,0.53636,0,0.0077856,1.21E-05,4.94E-22,0.18681,,16.76957969
9,-16.585,0.50891,0,0.0077607,1.19E-05,0,0.16599,,16.5928061
9,-16.585,0.50891,0,0.0077607,1.19E-05,0,0.16599,,16.5928061
9,-16.417,0.48311,0,0.0077379,1.16E-05,0,0.14537,,16.4241068
9,-16.417,0.48311,0,0.0077379,1.16E-05,0,0.14537,,16.4241068
9,-16.259,0.46099,0,0.0077171,1.12E-05,3.31E-22,0.12496,,16.26553389
9,-16.259,0.46099,0,0.0077171,1.12E-05,3.31E-22,0.12496,,16.26553389
9,-16.109,0.44428,0,0.0076982,1.09E-05,2.77E-22,0.10475,,16.11512537
9,-16.109,0.44428,0,0.0076982,1.09E-05,2.77E-22,0.10475,,16.11512537
9,-15.96,0.4367,0,0.0076804,1.09E-05,0,0.084706,,15.96597341
9,-15.96,0.4367,0,0.0076804,1.09E-05,0,0.084706,,15.96597341
9,-15.81,0.44237,0,0.0076626,1.16E-05,1.72E-22,0.064847,,15.81618763
9,-15.81,0.44237,0,0.0076626,1.16E-05,1.72E-22,0.064847,,15.81618763
9,-15.651,0.44306,0,0.0076408,1.41E-05,1.20E-22,0.045167,,15.65726998
9,-15.651,0.44306,0,0.0076408,1.41E-05,1.20E-22,0.045167,,15.65726998
9,-15.112,0.38144,0,0.0076012,2.13E-05,0,0.025732,,15.11681317
9,-15.112,0.38144,0,0.0076012,2.13E-05,0,0.025732,,15.11681317
9,-7.3293,0.28083,0,0.0075427,3.19E-05,2.27E-23,0.0074986,,7.334678178
9,-7.3293,0.28083,0,0.0075427,3.19E-05,2.27E-23,0.0074986,,7.334678178
